Gene Symbol	CHR	Start	end	Strand	Ensembl ID	Gene Type	Also Known As	Cytogenetic Region	Description	Summary
HAUS4	chr14	22946228	22957161	-	ENSG00000092036.18	protein_coding	C14orf94	14q11.2	HAUS augmin like complex subunit 4	This gene encodes a subunit of the centrosome complex termed the human augmin complex. The encoded protein localizes to the spindle microtubules and may play a role in mitotic spindle assembly and maintenance of centrosome integrity during cell division. Alternate splicing results in multiple transcript variants. A pseudogene of this gene is found on chromosome 1. [provided by RefSeq, Oct 2009]
HAUS6	chr9	19053143	19103119	-	ENSG00000147874.10	protein_coding	Dgt6|FAM29A	9p22.1	HAUS augmin like complex subunit 6	The protein encoded by this gene is a subunit of the augmin complex. The augmin complex plays a role in microtubule attachment to the kinetochore and central spindle formation. This protein may have a role in efficient chromosome congression and segregation by promoting microtubule-dependent microtubule amplification. Pseudogenes of this gene are located on chromosomes 7 and 20. Alternative splicing results in multiple transcript variants that encode different protein isoforms. [provided by RefSeq, Aug 2012]
HAUS8	chr19	17049729	17075625	-	ENSG00000131351.14	protein_coding	DGT4|HICE1|NY-SAR-48	19p13.11	HAUS augmin like complex subunit 8	HAUS8 is 1 of 8 subunits of the 390-kD human augmin complex, or HAUS complex. The augmin complex was first identified in Drosophila, and its name comes from the Latin verb augmentare, meaning to increase. The augmin complex is a microtubule-binding complex involved in microtubule generation within the mitotic spindle and is vital to mitotic spindle assembly (Goshima et al., 2008 [PubMed 18443220]; Uehara et al., 2009 [PubMed 19369198]).[supplied by OMIM, Jun 2010]
HAVCR1	chr5	157029413	157059119	-	ENSG00000113249.12	protein_coding	CD365|HAVCR|HAVCR-1|KIM-1|KIM1|TIM|TIM-1|TIM1|TIMD-1|TIMD1	5q33.3	hepatitis A virus cellular receptor 1	The protein encoded by this gene is a membrane receptor for both human hepatitis A virus (HHAV) and TIMD4. The encoded protein may be involved in the moderation of asthma and allergic diseases. The reference genome represents an allele that retains a MTTVP amino acid segment that confers protection against atopy in HHAV seropositive individuals. The protein is a receptor for multiple other viruses, including Ebola virus, Marburg virus, Dengue virus, and Zika virus and is a possible entry factor for SARS-CoV-2 and other coronaviruses. [provided by RefSeq, Sep 2021]
HAVCR2	chr5	157085832	157142869	-	ENSG00000135077.8	protein_coding	CD366|HAVcr-2|KIM-3|SPTCL|TIM3|TIMD-3|TIMD3|Tim-3	5q33.3	hepatitis A virus cellular receptor 2	The protein encoded by this gene belongs to the immunoglobulin superfamily, and TIM family of proteins. CD4-positive T helper lymphocytes can be divided into types 1 (Th1) and 2 (Th2) on the basis of their cytokine secretion patterns. Th1 cells are involved in cell-mediated immunity to intracellular pathogens and delayed-type hypersensitivity reactions, whereas, Th2 cells are involved in the control of extracellular helminthic infections and the promotion of atopic and allergic diseases. This protein is a Th1-specific cell surface protein that regulates macrophage activation, and inhibits Th1-mediated auto- and alloimmune responses, and promotes immunological tolerance. [provided by RefSeq, Sep 2011]
HAX1	chr1	154272511	154275875	+	ENSG00000143575.14	protein_coding	HCLSBP1|HS1BP1|SCN3	1q21.3	HCLS1 associated protein X-1	The protein encoded by this gene is known to associate with hematopoietic cell-specific Lyn substrate 1, a substrate of Src family tyrosine kinases. It also interacts with the product of the polycystic kidney disease 2 gene, mutations in which are associated with autosomal-dominant polycystic kidney disease, and with the F-actin-binding protein, cortactin. It was earlier thought that this gene product is mainly localized in the mitochondria, however, recent studies indicate it to be localized in the cell body. Mutations in this gene result in autosomal recessive severe congenital neutropenia, also known as Kostmann disease. Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008]
HBA2	chr16	172847	173710	+	ENSG00000188536.12	protein_coding	ECYT7|HBA-T2|HBH	16p13.3	hemoglobin subunit alpha 2	The human alpha globin gene cluster located on chromosome 16 spans about 30 kb and includes seven loci: 5- zeta - pseudozeta - mu - pseudoalpha-1 - alpha-2 - alpha-1 - theta - 3. The alpha-2 (HBA2) and alpha-1 (HBA1) coding sequences are identical. These genes differ slightly over the 5 untranslated regions and the introns, but they differ significantly over the 3 untranslated regions. Two alpha chains plus two beta chains constitute HbA, which in normal adult life comprises about 97% of the total hemoglobin; alpha chains combine with delta chains to constitute HbA-2, which with HbF (fetal hemoglobin) makes up the remaining 3% of adult hemoglobin. Alpha thalassemias result from deletions of each of the alpha genes as well as deletions of both HBA2 and HBA1; some nondeletion alpha thalassemias have also been reported. [provided by RefSeq, Jul 2008]
HBD	chr11	5232678	5235370	-	ENSG00000223609.7	protein_coding	-	-	hypophosphatemic bone disease	-
HBE1	chr11	5268345	5505617	-	ENSG00000213931.5	protein_coding	HBE	11p15.4	hemoglobin subunit epsilon 1	The epsilon globin gene (HBE) is normally expressed in the embryonic yolk sac: two epsilon chains together with two zeta chains (an alpha-like globin) constitute the embryonic hemoglobin Hb Gower I; two epsilon chains together with two alpha chains form the embryonic Hb Gower II. Both of these embryonic hemoglobins are normally supplanted by fetal, and later, adult hemoglobin. The five beta-like globin genes are found within a 45 kb cluster on chromosome 11 in the following order:  5-epsilon - G-gamma - A-gamma - delta - beta-3 [provided by RefSeq, Jul 2008]
HBEGF	chr5	140332843	140346631	-	ENSG00000113070.7	protein_coding	DTR|DTS|DTSF|HEGFL	5q31.3	heparin binding EGF like growth factor	Broad expression in gall bladder (RPKM 39.1), esophagus (RPKM 22.6) and 20 other tissues
HBG1	chr11	5248083	5249892	-	ENSG00000213934.6	protein_coding	HBG-T2|HBGA|HBGR|HSGGL1|PRO2979	11p15.4	hemoglobin subunit gamma 1	The gamma globin genes (HBG1 and HBG2) are normally expressed in the fetal liver, spleen and bone marrow. Two gamma chains together with two alpha chains constitute fetal hemoglobin (HbF) which is normally replaced by adult hemoglobin (HbA) at birth. In some beta-thalassemias and related conditions, gamma chain production continues into adulthood. The two types of gamma chains differ at residue 136 where glycine is found in the G-gamma product (HBG2) and alanine is found in the A-gamma product (HBG1). The former is predominant at birth. The order of the genes in the beta-globin cluster is: 5-epsilon -- gamma-G -- gamma-A -- delta -- beta--3. [provided by RefSeq, Jul 2008]
HBG2	chr11	5253190	5645789	-	ENSG00000196565.13	protein_coding	HBG-T1|TNCY	11p15.4	hemoglobin subunit gamma 2	The gamma globin genes (HBG1 and HBG2) are normally expressed in the fetal liver, spleen and bone marrow. Two gamma chains together with two alpha chains constitute fetal hemoglobin (HbF) which is normally replaced by adult hemoglobin (HbA) at birth. In some beta-thalassemias and related conditions, gamma chain production continues into adulthood. The two types of gamma chains differ at residue 136 where glycine is found in the G-gamma product (HBG2) and alanine is found in the A-gamma product (HBG1). The former is predominant at birth. The order of the genes in the beta-globin cluster is: 5- epsilon -- gamma-G -- gamma-A -- delta -- beta--3. [provided by RefSeq, Jul 2008]
HBM	chr16	153892	166768	+	ENSG00000206177.6	protein_coding	HBAP2|HBK	16p13.3	hemoglobin subunit mu	The human alpha globin gene cluster located on chromosome 16 spans about 30 kb and includes seven loci: 5- zeta - pseudozeta - mu - pseudoalpha-1 - alpha-2 - alpha-1 - theta - 3. This gene has an ORF encoding a 141 aa polypeptide which is similar to the delta globins found in reptiles and birds. This locus was originally described as a pseudogene; however, it is currently thought to be a protein-coding gene. [provided by RefSeq, Jul 2008]
HBP1	chr7	107168961	107202529	+	ENSG00000105856.13	protein_coding	-	7q22.3	HMG-box transcription factor 1	-
HBQ1	chr16	180453	181181	+	ENSG00000086506.2	protein_coding	HBQ	16p13.3	hemoglobin subunit theta 1	Theta-globin mRNA is found in human fetal erythroid tissue but not in adult erythroid or other nonerythroid tissue. The theta-1 gene may be expressed very early in embryonic life, perhaps sometime before 5 weeks. Theta-1 is a member of the human alpha-globin gene cluster that involves five functional genes and two pseudogenes. The order of genes is: 5 - zeta - pseudozeta - mu - pseudoalpha-2 -pseudoalpha-1 - alpha-2 - alpha-1 - theta-1 - 3. Research supports a transcriptionally active role for the gene and a functional role for the peptide in specific cells, possibly those of early erythroid tissue. [provided by RefSeq, Jul 2008]
HBS1L	chr6	134960378	135103056	-	ENSG00000112339.14	protein_coding	EF-1a|ERFS|HBS1|HSPC276|eRF3c	6q23.3	HBS1 like translational GTPase	This gene encodes a member of the GTP-binding elongation factor family. It is expressed in multiple tissues with the highest expression in heart and skeletal muscle. The intergenic region of this gene and the MYB gene has been identified to be a quantitative trait locus (QTL) controlling fetal hemoglobin level, and this region influnces erythrocyte, platelet, and monocyte counts as well as erythrocyte volume and hemoglobin content. DNA polymorphisms at this region associate with fetal hemoglobin levels and pain crises in sickle cell disease. A single nucleotide polymorphism in exon 1 of this gene is significantly associated with severity in beta-thalassemia/Hemoglobin E. Multiple alternatively spliced transcript variants encoding different protein isoforms have been found for this gene. [provided by RefSeq, May 2009]
HBZ	chr16	152687	154503	+	ENSG00000130656.4	protein_coding	HBAZ|HBZ-T1|HBZ1	16p13.3	hemoglobin subunit zeta	Zeta-globin is an alpha-like hemoglobin. The zeta-globin polypeptide is synthesized in the yolk sac of the early embryo, while alpha-globin is produced throughout fetal and adult life. The zeta-globin gene is a member of the human alpha-globin gene cluster that includes five functional genes and two pseudogenes. The order of genes is: 5 - zeta - pseudozeta - mu - pseudoalpha-1 - alpha-2 -alpha-1 - theta1 - 3. [provided by RefSeq, Nov 2009]
HCAR1	chr12	122726076	122730843	-	ENSG00000196917.5	protein_coding	FKSG80|GPR104|GPR81|HCA1|LACR1|TA-GPCR|TAGPCR	12q24.31	hydroxycarboxylic acid receptor 1	G protein-coupled receptors (GPCRs, or GPRs), such as GPR81, contain 7 transmembrane domains and transduce extracellular signals through heterotrimeric G proteins.[supplied by OMIM, Feb 2005]
HCAR2	chr12	122701293	122703343	-	ENSG00000182782.7	protein_coding	GPR109A|HCA2|HM74a|HM74b|NIACR1|PUMAG|Puma-g	12q24.31	hydroxycarboxylic acid receptor 2	-
HCAR3	chr12	122714756	122716892	-	ENSG00000255398.2	protein_coding	GPR109B|HCA3|HM74|PUMAG|Puma-g	12q24.31	hydroxycarboxylic acid receptor 3	-
HCCS	chrX	11111301	11123078	+	ENSG00000004961.14	protein_coding	CCHL|LSDMCA1|MCOPS7|MLS	Xp22.2	holocytochrome c synthase	The protein encoded by this gene is an enzyme that covalently links a heme group to the apoprotein of cytochrome c. Defects in this gene are a cause of microphthalmia syndromic type 7 (MCOPS7). Three transcript variants encoding the same protein have been found for this gene. [provided by RefSeq, Jan 2010]
HCFC1R1	chr16	3022620	3024286	-	ENSG00000103145.10	protein_coding	HPIP	16p13.3	host cell factor C1 regulator 1	Ubiquitous expression in kidney (RPKM 18.6), prostate (RPKM 18.2) and 25 other tissues
HCG11	chr6	26523450	26526579	+	ENSG00000228223.2	lincRNA	CTA-14H9.3|bK14H9.3	6p22.2	HLA complex group 11	-
HCG14	chr6	28896530	28897322	+	ENSG00000224157.1	antisense	dJ111M5.4	6p22.1	HLA complex group 14	Low expression observed in reference dataset
HCG15	chr6	28986203	28987484	+	ENSG00000227214.2	antisense	HCG16	6p22.1	HLA complex group 15	-
HCG17	chr6	30234039	30326134	-	ENSG00000270604.5	lincRNA	HCG18|LINC00046|NCRNA00046	6p22.1	HLA complex group 17	Low expression observed in reference dataset
HCG18	chr6	30287397	30327150	-	ENSG00000231074.8	antisense	-	6p22.1	HLA complex group 18	-
HCG20	chr6	30766825	30792250	+	ENSG00000228022.5	lincRNA	NCRNA00149	6p21.33	HLA complex group 20	Broad expression in kidney (RPKM 1.8), colon (RPKM 1.5) and 25 other tissues
HCG21	chr6	30945979	30954862	-	ENSG00000233529.1	antisense	NCRNA00150	6p21.33	HLA complex group 21	Biased expression in stomach (RPKM 27.0), lung (RPKM 18.7) and 4 other tissues
HCG22	chr6	31053450	31059890	+	ENSG00000228789.6	lincRNA	PBMUCL2	6p21.33	HLA complex group 22 (gene/pseudogene)	Annotation category: suggests misassembly
HCG23	chr6	32390510	32393686	+	ENSG00000228962.1	antisense	dJ1077I5.3	6p21.32	HLA complex group 23	Biased expression in ovary (RPKM 1.8), brain (RPKM 1.3) and 11 other tissues
HCG24	chr6	33144783	33147767	+	ENSG00000230313.1	antisense	-	6p21.32	HLA complex group 24	-
HCG25	chr6	33249534	33254989	+	ENSG00000232940.5	antisense	dJ1033B10.16	6p21.32	HLA complex group 25	Ubiquitous expression in skin (RPKM 11.4), prostate (RPKM 11.1) and 25 other tissues
HCG27	chr6	31197760	31203968	+	ENSG00000206344.7	lincRNA	bCX101P6.9|bPG299F13.9|bQB115I13.2	6p21.33	HLA complex group 27	Broad expression in spleen (RPKM 2.2), appendix (RPKM 1.9) and 25 other tissues
HCG4	chr6	29791753	29792750	-	ENSG00000176998.4	unprocessed_pseudogene	HCG4P10|HCGIV-10|HCGIV.9	6p22.1	HLA complex group 4	-
HCG4B	chr6	29925983	29926973	-	ENSG00000227262.3	unprocessed_pseudogene	HCG4P6|HCGIV-06|HCGIV-6|HCGIV.5|bCX67J3.3|bPG309N1.1|bQB90C11.3	6p22.1	HLA complex group 4B	-
HCG4P11	chr6	29722981	29723971	-	ENSG00000225864.1	unprocessed_pseudogene	HCGIV-11|HCGIV.10	6p22.1	HLA complex group 4 pseudogene 11	-
HCG4P3	chr6	30006121	30007116	-	ENSG00000237669.1	unprocessed_pseudogene	HCGIV-03|HCGIV-3|HCGIV.2	6p22.1	HLA complex group 4 pseudogene 3	-
HCG4P5	chr6	29942075	29943067	-	ENSG00000227766.1	unprocessed_pseudogene	HCGIV-05|HCGIV-5|HCGIV.4	6p22.1	HLA complex group 4 pseudogene 5	-
HCG4P7	chr6	29887294	29888268	-	ENSG00000230521.1	unprocessed_pseudogene	HCGIV-07|HCGIV-7|HCGIV.C	6p22.1	HLA complex group 4 pseudogene 7	-
HCG4P8	chr6	29827385	29828364	-	ENSG00000229142.1	unprocessed_pseudogene	HCGIV-08|HCGIV-8|HCGIV.7	6p22.1	HLA complex group 4 pseudogene 8	-
HCG9	chr6	29975112	29978410	+	ENSG00000204625.10	lincRNA	HCGIX|HCGIX4	6p22.1	HLA complex group 9	This gene lies within the MHC class I region on chromosome 6p21.3. This gene is believed to be non-coding, but its function has not been determined. [provided by RefSeq, Jul 2009]
HCG9P5	chr6	29748289	29748513	+	ENSG00000227758.1	unprocessed_pseudogene	HCGIX-5|dJ377H14.6	6p22.1	HLA complex group 9 pseudogene 5	-
HCK	chr20	32052188	32101856	+	ENSG00000101336.13	protein_coding	JTK9|p59Hck|p61Hck	20q11.21	HCK proto-oncogene, Src family tyrosine kinase	The protein encoded by this gene is a member of the Src family of tyrosine kinases. This protein is primarily hemopoietic, particularly in cells of the myeloid and B-lymphoid lineages. It may help couple the Fc receptor to the activation of the respiratory burst. In addition, it may play a role in neutrophil migration and in the degranulation of neutrophils. Multiple isoforms with different subcellular distributions are produced due to both alternative splicing and the use of alternative translation initiation codons, including a non-AUG (CUG) codon. [provided by RefSeq, Feb 2010]
HCLS1	chr3	121631399	121660927	-	ENSG00000180353.10	protein_coding	CTTNL|HS1|lckBP1|p75	3q13.33	hematopoietic cell-specific Lyn substrate 1	Broad expression in spleen (RPKM 118.5), lymph node (RPKM 107.3) and 16 other tissues
HCN1	chr5	45254950	45696498	-	ENSG00000164588.6	protein_coding	BCNG-1|BCNG1|DEE24|EIEE24|GEFSP10|HAC-2	5p12	hyperpolarization activated cyclic nucleotide gated potassium channel 1	The membrane protein encoded by this gene is a hyperpolarization-activated cation channel that contributes to the native pacemaker currents in heart and neurons. The encoded protein can homodimerize or heterodimerize with other pore-forming subunits to form a potassium channel. This channel may act as a receptor for sour tastes. [provided by RefSeq, Oct 2011]
HCN2	chr19	589893	617159	+	ENSG00000099822.2	protein_coding	BCNG-2|BCNG2|EIG17|FEB2|GEFSP11|HAC-1	19p13.3	hyperpolarization activated cyclic nucleotide gated potassium and sodium channel 2	The protein encoded by this gene is a hyperpolarization-activated cation channel involved in the generation of native pacemaker activity in the heart and in the brain. The encoded protein is activated by cAMP and can produce a fast, large current. Defects in this gene were noted as a possible cause of some forms of epilepsy. [provided by RefSeq, Jan 2017]
HCN3	chr1	155277583	155289848	+	ENSG00000143630.9	protein_coding	-	1q22	hyperpolarization activated cyclic nucleotide gated potassium channel 3	Ubiquitous expression in liver (RPKM 3.6), duodenum (RPKM 2.6) and 25 other tissues
HCN4	chr15	73319859	73369264	-	ENSG00000138622.3	protein_coding	BRGDA8|EIG18|SSS2	15q24.1	hyperpolarization activated cyclic nucleotide gated potassium channel 4	This gene encodes a member of the hyperpolarization-activated cyclic nucleotide-gated potassium channels. The encoded protein shows slow kinetics of activation and inactivation, and is necessary for the cardiac pacemaking process. This channel may also mediate responses to sour stimuli. Mutations in this gene have been linked to sick sinus syndrome 2, also known as atrial fibrillation with bradyarrhythmia or familial sinus bradycardia. Two pseudogenes have been identified on chromosome 15. [provided by RefSeq, Oct 2008]
HCP5	chr6	31400702	31477506	+	ENSG00000206337.10	sense_overlapping	6S2650E|D6S2650E|P5-1	6p21.33	HLA complex P5	Broad expression in spleen (RPKM 38.9), lymph node (RPKM 31.9) and 24 other tissues
HCP5B	chr6	29871895	29873783	-	ENSG00000281831.1	lincRNA	HCP5P10|P5-10|P5.9	6p22.1	HLA complex P5B	-
HCRTR1	chr1	31617686	31632518	+	ENSG00000121764.11	protein_coding	ORXR1|OX1R|OXR1	1p35.2	hypocretin receptor 1	The protein encoded by this gene is a G-protein coupled receptor involved in the regulation of feeding behavior. The encoded protein selectively binds the hypothalamic neuropeptide orexin A. A related gene (HCRTR2) encodes a G-protein coupled receptor that binds orexin A and orexin B. [provided by RefSeq, Jan 2009]
HCRTR2	chr6	55106460	55282620	+	ENSG00000137252.9	protein_coding	ORXR2|OX2R|OXR2	6p12.1	hypocretin receptor 2	The protein encoded by this gene is a G-protein coupled receptor involved in the regulation of feeding behavior. The encoded protein binds the hypothalamic neuropeptides orexin A and orexin B. A related gene (HCRTR1) encodes a G-protein coupled receptor that selectively binds orexin A. [provided by RefSeq, Jan 2009]
HCST	chr19	35902480	35904377	+	ENSG00000126264.9	protein_coding	DAP10|KAP10|PIK3AP	19q13.12	hematopoietic cell signal transducer	This gene encodes a transmembrane signaling adaptor that contains a YxxM motif in its cytoplasmic domain. The encoded protein may form part of the immune recognition receptor complex with the C-type lectin-like receptor NKG2D. As part of this receptor complex, this protein may activate phosphatidylinositol 3-kinase dependent signaling pathways through its intracytoplasmic YxxM motif. This receptor complex may have a role in cell survival and proliferation by activation of NK and T cell responses. Alternative splicing results in two transcript variants encoding different isoforms. [provided by RefSeq, Jul 2008]
HDAC1	chr1	32292086	32333635	+	ENSG00000116478.11	protein_coding	GON-10|HD1|KDAC1|RPD3|RPD3L1	1p35.2-p35.1	histone deacetylase 1	Histone acetylation and deacetylation, catalyzed by multisubunit complexes, play a key role in the regulation of eukaryotic gene expression. The protein encoded by this gene belongs to the histone deacetylase/acuc/apha family and is a component of the histone deacetylase complex. It also interacts with retinoblastoma tumor-suppressor protein and this complex is a key element in the control of cell proliferation and differentiation. Together with metastasis-associated protein-2, it deacetylates p53 and modulates its effect on cell growth and apoptosis. [provided by RefSeq, Jul 2008]
HDAC10	chr22	50245183	50251405	-	ENSG00000100429.17	protein_coding	HD10	22q13.33	histone deacetylase 10	The protein encoded by this gene belongs to the histone deacetylase family, members of which deacetylate lysine residues on the N-terminal part of the core histones. Histone deacetylation modulates chromatin structure, and plays an important role in transcriptional regulation, cell cycle progression, and developmental events. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Aug 2011]
HDAC11	chr3	13479724	13506424	+	ENSG00000163517.14	protein_coding	HD11	3p25.1	histone deacetylase 11	This gene encodes a class IV histone deacetylase. The encoded protein is localized to the nucleus and may be involved in regulating the expression of interleukin 10. Alternative splicing results in multiple transcript variants.[provided by RefSeq, Apr 2009]
HDAC1P1	chr10	94137748	94139500	+	ENSG00000234724.1	processed_pseudogene	-	10q23.33	histone deacetylase 1 pseudogene 1	-
HDAC3	chr5	141620876	141636870	-	ENSG00000171720.9	protein_coding	HD3|KDAC3|RPD3|RPD3-2	5q31.3	histone deacetylase 3	Histones play a critical role in transcriptional regulation, cell cycle progression, and developmental events. Histone acetylation/deacetylation alters chromosome structure and affects transcription factor access to DNA. The protein encoded by this gene belongs to the histone deacetylase/acuc/apha family. It has histone deacetylase activity and represses transcription when tethered to a promoter. It may participate in the regulation of transcription through its binding with the zinc-finger transcription factor YY1. This protein can also down-regulate p53 function and thus modulate cell growth and apoptosis. This gene is regarded as a potential tumor suppressor gene. [provided by RefSeq, Jul 2008]
HDAC4-AS1	chr2	 239401436	239402364	+	ENSG00000222020	ncRNA	-	2q37.3	HDAC4 antisense RNA 1	-
HDAC5	chr17	44076746	44123702	-	ENSG00000108840.15	protein_coding	HD5|NY-CO-9	17q21.31	histone deacetylase 5	Histones play a critical role in transcriptional regulation, cell cycle progression, and developmental events. Histone acetylation/deacetylation alters chromosome structure and affects transcription factor access to DNA. The protein encoded by this gene belongs to the class II histone deacetylase/acuc/apha family. It possesses histone deacetylase activity and represses transcription when tethered to a promoter. It coimmunoprecipitates only with HDAC3 family member and might form multicomplex proteins. It also interacts with myocyte enhancer factor-2 (MEF2) proteins, resulting in repression of MEF2-dependent genes. This gene is thought to be associated with colon cancer. Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008]
HDAC7	chr12	47782722	47833132	-	ENSG00000061273.17	protein_coding	HD7|HD7A|HDAC7A	12q13.11	histone deacetylase 7	Histones play a critical role in transcriptional regulation, cell cycle progression, and developmental events. Histone acetylation/deacetylation alters chromosome structure and affects transcription factor access to DNA. The protein encoded by this gene has sequence homology to members of the histone deacetylase family. This gene is orthologous to mouse HDAC7 gene whose protein promotes repression mediated via the transcriptional corepressor SMRT. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008]
HDAC9	chr7	18086949	19002416	+	ENSG00000048052.21	protein_coding	HD7|HD7b|HD9|HDAC|HDAC7|HDAC7B|HDAC9B|HDAC9FL|HDRP|MITR	7p21.1	histone deacetylase 9	Histones play a critical role in transcriptional regulation, cell cycle progression, and developmental events. Histone acetylation/deacetylation alters chromosome structure and affects transcription factor access to DNA. The protein encoded by this gene has sequence homology to members of the histone deacetylase family. This gene is orthologous to the Xenopus and mouse MITR genes. The MITR protein lacks the histone deacetylase catalytic domain. It represses MEF2 activity through recruitment of multicomponent corepressor complexes that include CtBP and HDACs. This encoded protein may play a role in hematopoiesis. Multiple alternatively spliced transcripts have been described for this gene but the full-length nature of some of them has not been determined. [provided by RefSeq, Jul 2008]
HDC	chr15	50241947	50266026	-	ENSG00000140287.10	protein_coding	-	15q21.2	histidine decarboxylase	Broad expression in gall bladder (RPKM 9.0), stomach (RPKM 6.4) and 14 other tissues
HDDC2	chr6	125219962	125302078	-	ENSG00000111906.17	protein_coding	C6orf74|CGI-130|NS5ATP2|dJ167O5.2	6q22.31	HD domain containing 2	Ubiquitous expression in adrenal (RPKM 20.8), brain (RPKM 17.5) and 25 other tissues
HDDC3	chr15	90929964	90932569	-	ENSG00000184508.10	protein_coding	(ppGpp)ase|MESH1	15q26.1	HD domain containing 3	Ubiquitous expression in fat (RPKM 9.9), kidney (RPKM 7.9) and 25 other tissues
HDGF	chr1	156742107	156766925	-	ENSG00000143321.18	protein_coding	HMG1L2	1q23.1	heparin binding growth factor	This gene encodes a member of the hepatoma-derived growth factor family. The encoded protein has mitogenic and DNA-binding activity and may play a role in cellular proliferation and differentiation. High levels of expression of this gene enhance the growth of many tumors. This gene was thought initially to be located on chromosome X; however, that location has been determined to correspond to a related pseudogene. Alternatively spliced transcript variants encoding distinct isoforms have been described. [provided by RefSeq, Jan 2016]
HDGFL2	chr19	 4472297	4502207	+	ENSG00000167674	protein-coding	HDGF-2|HDGF2|HDGFRP2|HRP-2|HRP2	19p13.3	HDGF like 2	This gene encodes a member of the hepatoma-derived growth factor (HDGF) family. The protein includes an N-terminal PWWP domain that binds to methyl-lysine-containing histones, with specific binding of this protein to tri-methylated lysines 36 and 79 of histone H3, and di- and tri-methylated lysine 20 of histone H4. The protein functions in LEDGF/p75-independent HIV-1 replication by determining HIV-1 integration site selection. Alternative splicing of this gene results in multiple transcript variants. [provided by RefSeq, Apr 2014]
HDGFL3	chr15	 83112738	83207823	-	ENSG00000166503	protein-coding	CGI-142|HDGF-2|HDGF2|HDGFRP3|HRP-3	15q25.2	HDGF like 3	Broad expression in testis (RPKM 18.5), brain (RPKM 17.0) and 22 other tissues
HDHD2	chr18	47107403	47150520	-	ENSG00000167220.11	protein_coding	3110052N05Rik|HEL-S-301	18q21.1	haloacid dehalogenase like hydrolase domain containing 2	Ubiquitous expression in brain (RPKM 11.6), thyroid (RPKM 10.9) and 25 other tissues
HDHD3	chr9	113373419	113376999	-	ENSG00000119431.9	protein_coding	2810435D12Rik|C9orf158	9q32	haloacid dehalogenase like hydrolase domain containing 3	Ubiquitous expression in duodenum (RPKM 36.7), adrenal (RPKM 34.5) and 25 other tissues
HDHD5	chr22	17137511	17165287	-	ENSG00000069998.12	protein_coding	CECR5	22q11.1	haloacid dehalogenase like hydrolase domain containing 5	Predicted to be involved in glycerophospholipid biosynthetic process. Predicted to be active in mitochondrion. [provided by Alliance of Genome Resources, Apr 2022]
HDLBP	chr2	241227264	241317061	-	ENSG00000115677.16	protein_coding	HBP|PRO2900|VGL	2q37.3	high density lipoprotein binding protein	The protein encoded by this gene binds high density lipoprotein (HDL) and may function to regulate excess cholesterol levels in cells. The encoded protein also binds RNA and can induce heterochromatin formation. [provided by RefSeq, Mar 2016]
HEATR1	chr1	236549005	236604504	-	ENSG00000119285.10	protein_coding	BAP28|UTP10	1q43	HEAT repeat containing 1	Ubiquitous expression in testis (RPKM 12.5), appendix (RPKM 11.0) and 25 other tissues
HEATR3	chr16	50065941	50106387	+	ENSG00000155393.12	protein_coding	SYO1	16q12.1	HEAT repeat containing 3	The protein encoded by this gene plays a role in ribosomal protein transport and in the assembly of the 5S ribonucleoprotein particle (5S RNP). The encoded protein also may be involved in NOD2-mediated NF-kappaB signaling. [provided by RefSeq, Jul 2016]
HEATR4	chr14	73478484	73558947	-	ENSG00000187105.8	protein_coding	-	14q24.3	HEAT repeat containing 4	-
HEATR5A	chr14	31291791	31420582	-	ENSG00000129493.14	protein_coding	C14orf125|p200b	14q12	HEAT repeat containing 5A	Ubiquitous expression in colon (RPKM 6.4), thyroid (RPKM 5.2) and 25 other tissues
HEATR5B	chr2	36968383	37084342	-	ENSG00000008869.11	protein_coding	p200|p200a	2p22.2	HEAT repeat containing 5B	Ubiquitous expression in lymph node (RPKM 6.3), thyroid (RPKM 6.0) and 25 other tissues
HEATR6	chr17	60043194	60078931	-	ENSG00000068097.14	protein_coding	ABC1	17q23.1	HEAT repeat containing 6	Ubiquitous expression in ovary (RPKM 3.1), testis (RPKM 3.0) and 25 other tissues
HEATR9	chr17	35854946	35868891	-	ENSG00000270379.5	protein_coding	C17orf66	17q12	HEAT repeat containing 9	Predicted to act upstream of or within hematopoietic progenitor cell differentiation. [provided by Alliance of Genome Resources, Apr 2022]
HEBP1	chr12	12974864	13000273	-	ENSG00000013583.8	protein_coding	HBP|HEBP	12p13.1	heme binding protein 1	The full-length protein encoded by this gene is an intracellular tetrapyrrole-binding protein. This protein includes a natural chemoattractant peptide of 21 amino acids at the N-terminus, which is a natural ligand for formyl peptide receptor-like receptor 2 (FPRL2) and promotes calcium mobilization and chemotaxis in monocytes and dendritic cells. [provided by RefSeq, Jul 2008]
